Table 1: RK4 and RKF45 Approximation Results
Iter    Time      RK4            RKF45          Analytical     
1       0.00      0.000000       0.000000       0.000000       
2       0.05      0.000207       0.000517       0.000207       
3       0.10      0.001640       0.000517       0.001639       
4       0.15      0.005472       0.007802       0.005472       
5       0.20      0.012800       0.007802       0.012800       
6       0.25      0.024623       0.031937       0.024622       
7       0.30      0.041821       0.031937       0.041821       
8       0.35      0.065144       0.077264       0.065143       
9       0.40      0.095189       0.077264       0.095189       
10      0.45      0.132396       0.148375       0.132396       
11      0.50      0.177034       0.148375       0.177033       
12      0.55      0.229194       0.248069       0.229194       
13      0.60      0.288790       0.248069       0.288790       
14      0.65      0.355553       0.378945       0.355553       
15      0.70      0.429034       0.378945       0.429034       
16      0.75      0.508614       0.543751       0.508614       
17      0.80      0.593503       0.543751       0.593504       
18      0.85      0.682759       0.748468       0.682760       
19      0.90      0.775296       0.748468       0.775296       
20      0.95      0.869898       0.953083       0.869899       
21      1.00      0.965243       0.953083       0.965244       
22      1.05      1.059915       1.146782       1.059916       
23      1.10      1.152427       1.146782       1.152428       
24      1.15      1.241246       1.322103       1.241247       
25      1.20      1.324812       1.322103       1.324814       
26      1.25      1.401566       1.461624       1.401567       
27      1.30      1.469967       1.461624       1.469968       
28      1.35      1.528525       1.561505       1.528527       
29      1.40      1.575820       1.561505       1.575821       
30      1.45      1.610522       1.620876       1.610524       
31      1.50      1.631422       1.620876       1.631423       
32      1.55      1.637444       1.637125       1.637445       
33      1.60      1.627669       1.607724       1.627670       
34      1.65      1.601353       1.607724       1.601353       
35      1.70      1.557937       1.530321       1.557937       
36      1.75      1.497068       1.530321       1.497068       
37      1.80      1.418603       1.402804       1.418603       
38      1.85      1.322622       1.402804       1.322621       
39      1.90      1.209426       1.223241       1.209425       
40      1.95      1.079548       0.989659       1.079547       
41      2.00      0.933746       0.989659       0.933744       
42      2.05      0.773001       0.699491       0.772999       
43      2.10      0.598510       0.699491       0.598508       
44      2.15      0.411679       0.348063       0.411676       
45      2.20      0.214106       0.348063       0.214103       
46      2.25      0.007570       -0.069029      0.007566       
47      2.30      -0.205990      -0.069029      -0.205994      
48      2.35      -0.424492      -0.484762      -0.424495      
49      2.40      -0.645733      -0.484762      -0.645737      
50      2.45      -0.867417      -0.901514      -0.867421      
51      2.50      -1.087175      -0.901514      -1.087180      
52      2.55      -1.302598      -1.305072      -1.302602      
53      2.60      -1.511257      -1.682239      -1.511261      
54      2.65      -1.710738      -1.682239      -1.710742      
55      2.70      -1.898669      -1.997589      -1.898673      
56      2.75      -2.072746      -1.997589      -2.072750      
57      2.80      -2.230766      -2.260395      -2.230769      
58      2.85      -2.370649      -2.260395      -2.370652      
59      2.90      -2.490470      -2.468251      -2.490473      
60      2.95      -2.588481      -2.619053      -2.588484      
61      3.00      -2.663135      -2.619053      -2.663137      
62      3.05      -2.713108      -2.710281      -2.713109      
63      3.10      -2.737317      -2.739550      -2.737318      
64      3.15      -2.734939      -2.739550      -2.734939      
65      3.20      -2.705421      -2.704691      -2.705421      
