
--- Midpoint Integration (Integral_1: from 1 to 2 of 1/x dx) for N=4 ---
Step	X_mid		f(X_mid)	Partial Sum
1	1.12500000	0.88888889	0.22222222
2	1.37500000	0.72727273	0.40404040
3	1.62500000	0.61538462	0.55788656
4	1.87500000	0.53333333	0.69121989


--- Midpoint Integration (Integral_1: from 1 to 2 of 1/x dx) for N=8 ---
Step	X_mid		f(X_mid)	Partial Sum
1	1.06250000	0.94117647	0.11764706
2	1.18750000	0.84210526	0.22291022
3	1.31250000	0.76190476	0.31814831
4	1.43750000	0.69565217	0.40510483
5	1.56250000	0.64000000	0.48510483
6	1.68750000	0.59259259	0.55917891
7	1.81250000	0.55172414	0.62814443
8	1.93750000	0.51612903	0.69266055


--- Midpoint Integration (Integral_1: from 1 to 2 of 1/x dx) for N=15 ---
Step	X_mid		f(X_mid)	Partial Sum
1	1.03333333	0.96774194	0.06451613
2	1.10000000	0.90909091	0.12512219
3	1.16666667	0.85714286	0.18226505
4	1.23333333	0.81081081	0.23631910
5	1.30000000	0.76923077	0.28760115
6	1.36666667	0.73170732	0.33638164
7	1.43333333	0.69767442	0.38289327
8	1.50000000	0.66666667	0.42733771
9	1.56666667	0.63829787	0.46989090
10	1.63333333	0.61224490	0.51070723
11	1.70000000	0.58823529	0.54992292
12	1.76666667	0.56603774	0.58765877
13	1.83333333	0.54545455	0.62402240
14	1.90000000	0.52631579	0.65911012
15	1.96666667	0.50847458	0.69300843


--- Midpoint Integration (Integral_1: from 1 to 2 of 1/x dx) for N=20 ---
Step	X_mid		f(X_mid)	Partial Sum
1	1.02500000	0.97560976	0.04878049
2	1.07500000	0.93023256	0.09529212
3	1.12500000	0.88888889	0.13973656
4	1.17500000	0.85106383	0.18228975
5	1.22500000	0.81632653	0.22310608
6	1.27500000	0.78431373	0.26232176
7	1.32500000	0.75471698	0.30005761
8	1.37500000	0.72727273	0.33642125
9	1.42500000	0.70175439	0.37150897
10	1.47500000	0.67796610	0.40540727
11	1.52500000	0.65573770	0.43819416
12	1.57500000	0.63492063	0.46994019
13	1.62500000	0.61538462	0.50070942
14	1.67500000	0.59701493	0.53056017
15	1.72500000	0.57971014	0.55954568
16	1.77500000	0.56338028	0.58771469
17	1.82500000	0.54794521	0.61511195
18	1.87500000	0.53333333	0.64177862
19	1.92500000	0.51948052	0.66775264
20	1.97500000	0.50632911	0.69306910


--- Trapezoidal Integration (Integral_1: from 1 to 2 of 1/x dx) for N=4 ---
Step	X_i		f(X_i)	Partial Sum
0	1.00000000	1.00000000	0.18750000
1	1.25000000	0.80000000	0.38750000
2	1.50000000	0.66666667	0.55416667
3	1.75000000	0.57142857	0.69702381
4	2.00000000	0.50000000	0.69702381


--- Trapezoidal Integration (Integral_1: from 1 to 2 of 1/x dx) for N=8 ---
Step	X_i		f(X_i)	Partial Sum
0	1.00000000	1.00000000	0.09375000
1	1.12500000	0.88888889	0.20486111
2	1.25000000	0.80000000	0.30486111
3	1.37500000	0.72727273	0.39577020
4	1.50000000	0.66666667	0.47910354
5	1.62500000	0.61538462	0.55602661
6	1.75000000	0.57142857	0.62745518
7	1.87500000	0.53333333	0.69412185
8	2.00000000	0.50000000	0.69412185


--- Trapezoidal Integration (Integral_1: from 1 to 2 of 1/x dx) for N=15 ---
Step	X_i		f(X_i)	Partial Sum
0	1.00000000	1.00000000	0.05000000
1	1.06666667	0.93750000	0.11250000
2	1.13333333	0.88235294	0.17132353
3	1.20000000	0.83333333	0.22687908
4	1.26666667	0.78947368	0.27951066
5	1.33333333	0.75000000	0.32951066
6	1.40000000	0.71428571	0.37712971
7	1.46666667	0.68181818	0.42258426
8	1.53333333	0.65217391	0.46606252
9	1.60000000	0.62500000	0.50772918
10	1.66666667	0.60000000	0.54772918
11	1.73333333	0.57692308	0.58619072
12	1.80000000	0.55555556	0.62322776
13	1.86666667	0.53571429	0.65894205
14	1.93333333	0.51724138	0.69342480
15	2.00000000	0.50000000	0.69342480


--- Trapezoidal Integration (Integral_1: from 1 to 2 of 1/x dx) for N=20 ---
Step	X_i		f(X_i)	Partial Sum
0	1.00000000	1.00000000	0.03750000
1	1.05000000	0.95238095	0.08511905
2	1.10000000	0.90909091	0.13057359
3	1.15000000	0.86956522	0.17405185
4	1.20000000	0.83333333	0.21571852
5	1.25000000	0.80000000	0.25571852
6	1.30000000	0.76923077	0.29418006
7	1.35000000	0.74074074	0.33121710
8	1.40000000	0.71428571	0.36693138
9	1.45000000	0.68965517	0.40141414
10	1.50000000	0.66666667	0.43474747
11	1.55000000	0.64516129	0.46700554
12	1.60000000	0.62500000	0.49825554
13	1.65000000	0.60606061	0.52855857
14	1.70000000	0.58823529	0.55797033
15	1.75000000	0.57142857	0.58654176
16	1.80000000	0.55555556	0.61431954
17	1.85000000	0.54054054	0.64134657
18	1.90000000	0.52631579	0.66766236
19	1.95000000	0.51282051	0.69330338
20	2.00000000	0.50000000	0.69330338


--- Midpoint Integration (Integral_2: from 0 to pi/2 of x*cos(x) dx) for N=4 ---
Step	X_mid		f(X_mid)	Partial Sum
1	0.19634954	0.19257674	0.07562471
2	0.58904862	0.48977603	0.26795931
3	0.98174770	0.54542980	0.48214909
4	1.37444679	0.26814127	0.58744792


--- Midpoint Integration (Integral_2: from 0 to pi/2 of x*cos(x) dx) for N=8 ---
Step	X_mid		f(X_mid)	Partial Sum
1	0.09817477	0.09770203	0.01918375
2	0.29452431	0.28184219	0.07452333
3	0.49087385	0.43291209	0.15952542
4	0.68722339	0.53123087	0.26383236
5	0.88357293	0.56053274	0.37389271
6	1.07992247	0.50907193	0.47384875
7	1.27627202	0.37048221	0.54659276
8	1.47262156	0.14434215	0.57493427


--- Midpoint Integration (Integral_2: from 0 to pi/2 of x*cos(x) dx) for N=15 ---
Step	X_mid		f(X_mid)	Partial Sum
1	0.05235988	0.05228812	0.00547560
2	0.15707963	0.15514572	0.02172242
3	0.26179939	0.25287879	0.04820383
4	0.36651914	0.34217510	0.08403632
5	0.47123890	0.41987693	0.12800573
6	0.57595865	0.48303957	0.17858951
7	0.68067841	0.52898648	0.23398485
8	0.78539816	0.55536037	0.29214205
9	0.89011792	0.56016936	0.35080285
10	0.99483767	0.54182743	0.40754288
11	1.09955743	0.49918863	0.45981779
12	1.20427718	0.43157435	0.50501215
13	1.30899694	0.33879334	0.54049051
14	1.41371669	0.22115401	0.56364970
15	1.51843645	0.07946882	0.57197166


--- Midpoint Integration (Integral_2: from 0 to pi/2 of x*cos(x) dx) for N=20 ---
Step	X_mid		f(X_mid)	Partial Sum
1	0.03926991	0.03923963	0.00308187
2	0.11780972	0.11699312	0.01227049
3	0.19634954	0.19257674	0.02739543
4	0.27488936	0.26456870	0.04817461
5	0.35342917	0.33158419	0.07421717
6	0.43196899	0.39228969	0.10502753
7	0.51050881	0.44541689	0.14001049
8	0.58904862	0.48977603	0.17847741
9	0.66758844	0.52426850	0.21965336
10	0.74612826	0.54789877	0.26268523
11	0.82466807	0.55978530	0.30665067
12	0.90320789	0.55917054	0.35056782
13	0.98174770	0.54542980	0.39340578
14	1.06028752	0.51807900	0.43409561
15	1.13882734	0.47678115	0.47154191
16	1.21736715	0.42135154	0.50463478
17	1.29590697	0.35176157	0.53226207
18	1.37444679	0.26814127	0.55332184
19	1.45298660	0.17078026	0.56673489
20	1.53152642	0.06012745	0.57145729


--- Trapezoidal Integration (Integral_2: from 0 to pi/2 of x*cos(x) dx) for N=4 ---
Step	X_i		f(X_i)	Partial Sum
0	0.00000000	0.00000000	0.00000000
1	0.39269908	0.36280664	0.14247384
2	0.78539816	0.55536037	0.36056334
3	1.17809725	0.45083830	0.53760713
4	1.57079633	0.00000000	0.53760713


--- Trapezoidal Integration (Integral_2: from 0 to pi/2 of x*cos(x) dx) for N=8 ---
Step	X_i		f(X_i)	Partial Sum
0	0.00000000	0.00000000	0.00000000
1	0.19634954	0.19257674	0.03781235
2	0.39269908	0.36280664	0.10904927
3	0.58904862	0.48977603	0.20521657
4	0.78539816	0.55536037	0.31426132
5	0.98174770	0.54542980	0.42135621
6	1.17809725	0.45083830	0.50987811
7	1.37444679	0.26814127	0.56252752
8	1.57079633	0.00000000	0.56252752


--- Trapezoidal Integration (Integral_2: from 0 to pi/2 of x*cos(x) dx) for N=15 ---
Step	X_i		f(X_i)	Partial Sum
0	0.00000000	0.00000000	0.00000000
1	0.10471976	0.10414609	0.01090615
2	0.20943951	0.20486275	0.03235933
3	0.31415927	0.29878322	0.06364784
4	0.41887902	0.38266503	0.10372042
5	0.52359878	0.45344984	0.15120558
6	0.62831853	0.50832037	0.20443676
7	0.73303829	0.54475361	0.26148323
8	0.83775804	0.56056955	0.32018593
9	0.94247780	0.55397455	0.37819801
10	1.04719755	0.52359878	0.43302915
11	1.15191731	0.46852698	0.48209318
12	1.25663706	0.38832221	0.52275819
13	1.36135682	0.28304200	0.55239827
14	1.46607657	0.15324673	0.56844624
15	1.57079633	0.00000000	0.56844624


--- Trapezoidal Integration (Integral_2: from 0 to pi/2 of x*cos(x) dx) for N=20 ---
Step	X_i		f(X_i)	Partial Sum
0	0.00000000	0.00000000	0.00000000
1	0.07853982	0.07829770	0.00614949
2	0.15707963	0.15514572	0.01833460
3	0.23561945	0.22910926	0.03632880
4	0.31415927	0.29878322	0.05979518
5	0.39269908	0.36280664	0.08828995
6	0.47123890	0.41987693	0.12126701
7	0.54977871	0.46876341	0.15808360
8	0.62831853	0.50832037	0.19800699
9	0.70685835	0.53749930	0.24022208
10	0.78539816	0.55536037	0.28383999
11	0.86393798	0.56108283	0.32790733
12	0.94247780	0.55397455	0.37141639
13	1.02101761	0.53348024	0.41331583
14	1.09955743	0.49918863	0.45252201
15	1.17809725	0.45083830	0.48793077
16	1.25663706	0.38832221	0.51842952
17	1.33517688	0.31169085	0.54290966
18	1.41371669	0.22115401	0.56027906
19	1.49225651	0.11708110	0.56947459
20	1.57079633	0.00000000	0.56947459


