======================================================================
Monte Carlo Process for ∫₋₁→₁ sin²(x) dx
======================================================================
N	Estimate F_N	|F_N - Exact|
100	0.61777479	7.24235e-02
200	0.61032599	6.49747e-02
300	0.58131851	3.59672e-02
400	0.58021485	3.48636e-02
500	0.57416983	2.88185e-02
600	0.57249492	2.71436e-02
700	0.57142787	2.60766e-02
800	0.57982798	3.44767e-02
900	0.58322492	3.78736e-02
1000	0.58224176	3.68905e-02
1100	0.57856123	3.32099e-02
1200	0.57074906	2.53978e-02
1300	0.56720096	2.18497e-02
1400	0.56644781	2.10965e-02
1500	0.56027139	1.49201e-02
1600	0.55813084	1.27796e-02
1700	0.55713361	1.17823e-02
1800	0.55911629	1.37650e-02
1900	0.55705104	1.16998e-02
2000	0.56146414	1.61129e-02
2100	0.55825492	1.29036e-02
2200	0.55810026	1.27490e-02
2300	0.55770417	1.23529e-02
2400	0.56063349	1.52822e-02
2500	0.55859726	1.32460e-02
2600	0.56004398	1.46927e-02
2700	0.56086106	1.55098e-02
2800	0.56022516	1.48739e-02
2900	0.55915791	1.38066e-02
3000	0.55828786	1.29366e-02
3100	0.55905754	1.37063e-02
3200	0.55684636	1.14951e-02
3300	0.55902654	1.36753e-02
3400	0.56005934	1.47081e-02
3500	0.55929200	1.39407e-02
3600	0.55743065	1.20794e-02
3700	0.55592140	1.05701e-02
3800	0.55572063	1.03693e-02
3900	0.55664168	1.12904e-02
4000	0.55700078	1.16495e-02
4100	0.55630652	1.09552e-02
4200	0.55540146	1.00502e-02
4300	0.55357582	8.22453e-03
4400	0.55348035	8.12906e-03
4500	0.55382312	8.47183e-03
4600	0.55291822	7.56693e-03
4700	0.55228268	6.93139e-03
4800	0.55260039	7.24910e-03
4900	0.55184326	6.49197e-03
5000	0.55218673	6.83544e-03
5100	0.55232259	6.97131e-03
5200	0.55190238	6.55109e-03
5300	0.55198596	6.63467e-03
5400	0.55080025	5.44896e-03
5500	0.55077630	5.42501e-03
5600	0.55062711	5.27582e-03
5700	0.54932563	3.97435e-03
5800	0.54925452	3.90323e-03
5900	0.54976183	4.41055e-03
6000	0.54907131	3.72002e-03
6100	0.54991891	4.56763e-03
6200	0.54991026	4.55898e-03
6300	0.55024945	4.89817e-03
6400	0.55020227	4.85098e-03
6500	0.54973284	4.38155e-03
6600	0.55013162	4.78034e-03
6700	0.55155232	6.20104e-03
6800	0.55182658	6.47529e-03
6900	0.55248223	7.13094e-03
7000	0.55245827	7.10698e-03
7100	0.55138313	6.03185e-03
7200	0.55140995	6.05866e-03
7300	0.55084246	5.49117e-03
7400	0.55014018	4.78889e-03
7500	0.54964954	4.29825e-03
7600	0.55066223	5.31095e-03
7700	0.55058400	5.23271e-03
7800	0.55060522	5.25393e-03
7900	0.55065483	5.30355e-03
8000	0.55096418	5.61290e-03
8100	0.55128253	5.93124e-03
8200	0.55018811	4.83682e-03
8300	0.54969956	4.34827e-03
8400	0.54922256	3.87127e-03
8500	0.54969896	4.34767e-03
8600	0.54977006	4.41877e-03
8700	0.54996449	4.61320e-03
8800	0.54932502	3.97373e-03
8900	0.54894560	3.59431e-03
9000	0.54908913	3.73784e-03
9100	0.55018088	4.82959e-03
9200	0.55006946	4.71817e-03
9300	0.54970482	4.35354e-03
9400	0.55008954	4.73826e-03
9500	0.54952630	4.17502e-03
9600	0.54974438	4.39309e-03
9700	0.54985359	4.50230e-03
9800	0.54828663	2.93535e-03
9900	0.54856738	3.21609e-03
10000	0.54814395	2.79266e-03
10100	0.54792026	2.56898e-03
10200	0.54796944	2.61816e-03
10300	0.54801318	2.66189e-03
10400	0.54778846	2.43717e-03
10500	0.54812873	2.77744e-03
10600	0.54798361	2.63232e-03
10700	0.54808370	2.73241e-03
10800	0.54778152	2.43023e-03
10900	0.54776776	2.41647e-03
11000	0.54776246	2.41117e-03
11100	0.54737920	2.02792e-03
11200	0.54754499	2.19370e-03
11300	0.54814101	2.78972e-03
11400	0.54823939	2.88810e-03
11500	0.54837055	3.01926e-03
11600	0.54811333	2.76204e-03
11700	0.54796580	2.61451e-03
11800	0.54788917	2.53788e-03
11900	0.54785561	2.50432e-03
12000	0.54830447	2.95318e-03
12100	0.54813460	2.78332e-03
12200	0.54787408	2.52279e-03
12300	0.54779798	2.44669e-03
12400	0.54748253	2.13125e-03
12500	0.54738318	2.03189e-03
12600	0.54683224	1.48095e-03
12700	0.54651304	1.16175e-03
12800	0.54669450	1.34321e-03
12900	0.54678311	1.43182e-03
13000	0.54703899	1.68771e-03
13100	0.54674222	1.39094e-03
13200	0.54720051	1.84922e-03
13300	0.54727031	1.91903e-03
13400	0.54750833	2.15704e-03
13500	0.54728215	1.93087e-03
13600	0.54703278	1.68149e-03
13700	0.54703685	1.68556e-03
13800	0.54702020	1.66892e-03
13900	0.54661618	1.26489e-03
14000	0.54636928	1.01799e-03
14100	0.54680157	1.45028e-03
14200	0.54682719	1.47591e-03
14300	0.54679797	1.44669e-03
14400	0.54698316	1.63188e-03
14500	0.54646411	1.11282e-03
14600	0.54655051	1.19922e-03
14700	0.54657998	1.22869e-03
14800	0.54698888	1.63759e-03
14900	0.54724159	1.89030e-03
15000	0.54742345	2.07216e-03
15100	0.54724608	1.89480e-03
15200	0.54697661	1.62532e-03
15300	0.54699726	1.64597e-03
15400	0.54683873	1.48745e-03
15500	0.54699699	1.64570e-03
15600	0.54694552	1.59423e-03
15700	0.54702891	1.67762e-03
15800	0.54649233	1.14105e-03
15900	0.54621085	8.59564e-04
