
--- Forward Euler (dy/dx = y - x^2) ---
i	x		y
0	0.000000	0.000000
1	0.100000	0.000000
2	0.200000	-0.001000
3	0.300000	-0.005100
4	0.400000	-0.014610
5	0.500000	-0.032071
6	0.600000	-0.060278
7	0.700000	-0.102306
8	0.800000	-0.161537
9	0.900000	-0.241690
10	1.000000	-0.346859
11	1.100000	-0.481545
12	1.200000	-0.650700
13	1.300000	-0.859770
14	1.400000	-1.114747
15	1.500000	-1.422221
16	1.600000	-1.789443
17	1.700000	-2.224388
18	1.800000	-2.735826
19	1.900000	-3.333409
20	2.000000	-4.027750

--- Predictor-Corrector (dy/dx = y - x^2) ---
i	x		y
0	0.000000	0.000000
1	0.100000	-0.000500
2	0.200000	-0.003103
3	0.300000	-0.010128
4	0.400000	-0.024142
5	0.500000	-0.047977
6	0.600000	-0.084764
7	0.700000	-0.137964
8	0.800000	-0.211401
9	0.900000	-0.309298
10	1.000000	-0.436324
11	1.100000	-0.597638
12	1.200000	-0.798940
13	1.300000	-1.046529
14	1.400000	-1.347364
15	1.500000	-1.709137
16	1.600000	-2.140347
17	1.700000	-2.650383
18	1.800000	-3.249624
19	1.900000	-3.949534
20	2.000000	-4.762785

--- Forward Euler (dy/dx = (x + y)^2) ---
i	x		y
0	0.000000	1.000000
1	0.100000	1.100000
2	0.200000	1.244000
3	0.300000	1.452514
4	0.400000	1.759644
5	0.500000	2.226050
6	0.600000	2.969185

--- Predictor-Corrector (dy/dx = (x + y)^2) ---
i	x		y
0	0.000000	1.000000
1	0.100000	1.122000
2	0.200000	1.304905
3	0.300000	1.585839
4	0.400000	2.037784
5	0.500000	2.825415
6	0.600000	4.404946
