
--- RK4 Steps (RK4 Problem 1), h=0.1 ---
Step	X	Y-values
0	0.100000	1.123049
1	0.200000	1.308496
2	0.300000	1.595754
3	0.400000	2.064900
4	0.500000	2.907820
5	0.600000	4.727897
6	0.700000	10.853932

--- RK4 Steps (RK4 Problem 1), h=0.25 ---
Step	X	Y-values
0	0.250000	1.435558
1	0.500000	2.897227
2	0.750000	17.885430

--- RK4 Steps (RK4 Problem 1), h=0.45 ---
Step	X	Y-values
0	0.450000	2.389060
1	0.900000	109.960226

--- RK4 Steps (RK4 Damped SHO), h=0.05 ---
Step	X	Y-values
0	0.050000	0.998753	-0.049792
1	0.100000	0.995029	-0.099088
2	0.150000	0.988855	-0.147769
3	0.200000	0.980264	-0.195719
4	0.250000	0.969297	-0.242823
5	0.300000	0.955998	-0.288970
6	0.350000	0.940418	-0.334053
7	0.400000	0.922612	-0.377967
8	0.450000	0.902642	-0.420611
9	0.500000	0.880574	-0.461890
10	0.550000	0.856478	-0.501710
11	0.600000	0.830429	-0.539983
12	0.650000	0.802506	-0.576626
13	0.700000	0.772795	-0.611559
14	0.750000	0.741380	-0.644708
15	0.800000	0.708355	-0.676004
16	0.850000	0.673812	-0.705383
17	0.900000	0.637849	-0.732786
18	0.950000	0.600567	-0.758159
19	1.000000	0.562068	-0.781455
20	1.050000	0.522457	-0.802631
21	1.100000	0.481841	-0.821650
22	1.150000	0.440328	-0.838481
23	1.200000	0.398030	-0.853098
24	1.250000	0.355056	-0.865482
25	1.300000	0.311519	-0.875618
26	1.350000	0.267532	-0.883498
27	1.400000	0.223207	-0.889118
28	1.450000	0.178657	-0.892483
29	1.500000	0.133996	-0.893601
30	1.550000	0.089334	-0.892485
31	1.600000	0.044784	-0.889154
32	1.650000	0.000456	-0.883635
33	1.700000	-0.043543	-0.875956
34	1.750000	-0.087105	-0.866154
35	1.800000	-0.130124	-0.854268
36	1.850000	-0.172497	-0.840343
37	1.900000	-0.214125	-0.824430
38	1.950000	-0.254908	-0.806583
39	2.000000	-0.294752	-0.786861
40	2.050000	-0.333564	-0.765327
41	2.100000	-0.371256	-0.742048
42	2.150000	-0.407741	-0.717095
43	2.200000	-0.442938	-0.690543
44	2.250000	-0.476770	-0.662469
45	2.300000	-0.509161	-0.632956
46	2.350000	-0.540043	-0.602087
47	2.400000	-0.569349	-0.569950
48	2.450000	-0.597018	-0.536634
49	2.500000	-0.622994	-0.502230
50	2.550000	-0.647225	-0.466832
51	2.600000	-0.669662	-0.430537
52	2.650000	-0.690265	-0.393441
53	2.700000	-0.708995	-0.355642
54	2.750000	-0.725819	-0.317240
55	2.800000	-0.740710	-0.278335
56	2.850000	-0.753646	-0.239027
57	2.900000	-0.764608	-0.199418
58	2.950000	-0.773584	-0.159609
59	3.000000	-0.780567	-0.119699
60	3.050000	-0.785554	-0.079790
61	3.100000	-0.788548	-0.039980
62	3.150000	-0.789556	-0.000368
63	3.200000	-0.788590	0.038949
64	3.250000	-0.785667	0.077875
65	3.300000	-0.780810	0.116317
66	3.350000	-0.774045	0.154181
67	3.400000	-0.765403	0.191379
68	3.450000	-0.754920	0.227822
69	3.500000	-0.742635	0.263425
70	3.550000	-0.728593	0.298107
71	3.600000	-0.712841	0.331787
72	3.650000	-0.695432	0.364389
73	3.700000	-0.676421	0.395841
74	3.750000	-0.655868	0.426071
75	3.800000	-0.633836	0.455015
76	3.850000	-0.610389	0.482609
77	3.900000	-0.585598	0.508796
78	3.950000	-0.559534	0.533520
79	4.000000	-0.532271	0.556730
80	4.050000	-0.503887	0.578381
81	4.100000	-0.474460	0.598430
82	4.150000	-0.444071	0.616839
83	4.200000	-0.412804	0.633574
84	4.250000	-0.380742	0.648607
85	4.300000	-0.347972	0.661912
86	4.350000	-0.314580	0.673469
87	4.400000	-0.280655	0.683263
88	4.450000	-0.246284	0.691283
89	4.500000	-0.211556	0.697521
90	4.550000	-0.176561	0.701975
91	4.600000	-0.141388	0.704649
92	4.650000	-0.106126	0.705547
93	4.700000	-0.070863	0.704683
94	4.750000	-0.035687	0.702069
95	4.800000	-0.000685	0.697727
96	4.850000	0.034057	0.691680
97	4.900000	0.068455	0.683956
98	4.950000	0.102426	0.674587
99	5.000000	0.135887	0.663608
100	5.050000	0.168760	0.651058
101	5.100000	0.200967	0.636981
102	5.150000	0.232434	0.621422
103	5.200000	0.263086	0.604433
104	5.250000	0.292854	0.586065
105	5.300000	0.321670	0.566376
106	5.350000	0.349470	0.545423
107	5.400000	0.376193	0.523268
108	5.450000	0.401778	0.499976
109	5.500000	0.426172	0.475613
110	5.550000	0.449323	0.450248
111	5.600000	0.471182	0.423951
112	5.650000	0.491704	0.396795
113	5.700000	0.510848	0.368854
114	5.750000	0.528577	0.340203
115	5.800000	0.544858	0.310919
116	5.850000	0.559660	0.281079
117	5.900000	0.572958	0.250763
118	5.950000	0.584730	0.220049
119	6.000000	0.594957	0.189016
120	6.050000	0.603627	0.157744
121	6.100000	0.610729	0.126313
122	6.150000	0.616257	0.094803
123	6.200000	0.620209	0.063292
124	6.250000	0.622588	0.031859
125	6.300000	0.623398	0.000581
126	6.350000	0.622650	-0.030464
127	6.400000	0.620357	-0.061202
128	6.450000	0.616536	-0.091558
129	6.500000	0.611208	-0.121458
130	6.550000	0.604399	-0.150833
131	6.600000	0.596135	-0.179613
132	6.650000	0.586449	-0.207730
133	6.700000	0.575374	-0.235120
134	6.750000	0.562950	-0.261720
135	6.800000	0.549216	-0.287470
136	6.850000	0.534218	-0.312311
137	6.900000	0.518001	-0.336189
138	6.950000	0.500616	-0.359052
139	7.000000	0.482114	-0.380849
140	7.050000	0.462550	-0.401535
141	7.100000	0.441980	-0.421067
142	7.150000	0.420463	-0.439404
143	7.200000	0.398060	-0.456511
144	7.250000	0.374833	-0.472352
145	7.300000	0.350846	-0.486899
146	7.350000	0.326165	-0.500125
147	7.400000	0.300856	-0.512007
148	7.450000	0.274987	-0.522525
149	7.500000	0.248626	-0.531663
150	7.550000	0.221844	-0.539409
151	7.600000	0.194709	-0.545754
152	7.650000	0.167292	-0.550692
153	7.700000	0.139663	-0.554222
154	7.750000	0.111893	-0.556346
155	7.800000	0.084052	-0.557069
156	7.850000	0.056209	-0.556399
157	7.900000	0.028435	-0.554348
158	7.950000	0.000797	-0.550933
159	8.000000	-0.026636	-0.546171
160	8.050000	-0.053798	-0.540085
161	8.100000	-0.080623	-0.532699
162	8.150000	-0.107046	-0.524042
